# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
1000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
111 -70.678154 0 -73.833511 0 -70.027618 0 -74.237862 0 -69.430817 0 -73.527245 0 -69.207809 0 -74.246300 0 -69.554443 0 -73.558250 0 -69.997864 0 
112 -70.824593 0 -73.745720 0 -70.468964 0 -74.120911 0 -70.074036 0 -73.406570 0 -69.937065 0 -74.128746 0 -70.168686 0 -73.435501 0 -70.425255 0 
113 -70.901360 0 -73.610596 0 -70.750908 0 -73.961723 0 -70.509560 0 -73.261871 0 -70.438774 0 -73.969070 0 -70.580063 0 -73.289055 0 -70.699478 0 
114 -70.931435 0 -73.453705 0 -70.917694 0 -73.784592 0 -70.786079 0 -73.107384 0 -70.762367 0 -73.791519 0 -70.837891 0 -73.133057 0 -70.862877 0 
115 -70.931038 0 -73.288643 0 -71.004951 0 -73.601967 0 -70.948196 0 -72.950768 0 -70.955963 0 -73.608536 0 -70.986237 0 -72.975090 0 -70.949501 0 
116 -70.911301 0 -73.122604 0 -71.039124 0 -73.420219 0 -71.031616 0 -72.796143 0 -71.059319 0 -73.426468 0 -71.059784 0 -72.819229 0 -70.984657 0 
117 -70.879715 0 -72.959381 0 -71.038826 0 -73.242599 0 -71.062668 0 -72.645683 0 -71.102295 0 -73.248550 0 -71.083885 0 -72.667633 0 -70.986259 0 
118 -70.841255 0 -72.800941 0 -71.016785 0 -73.070709 0 -71.059860 0 -72.500519 0 -71.106071 0 -73.076385 0 -71.076195 0 -72.521400 0 -70.966583 0 
119 -70.799210 0 -72.648262 0 -70.981506 0 -72.905327 0 -71.035767 0 -72.361191 0 -71.085091 0 -72.910736 0 -71.048683 0 -72.381050 0 -70.933853 0 
120 -70.755730 0 -72.501793 0 -70.938614 0 -72.746742 0 -70.998795 0 -72.227913 0 -71.049034 0 -72.751907 0 -71.009277 0 -72.246803 0 -70.893562 0 
121 -70.712196 0 -72.361702 0 -70.891792 0 -72.595047 0 -70.954483 0 -72.100716 0 -71.004250 0 -72.599968 0 -70.963219 0 -72.118675 0 -70.849297 0 
122 -70.669495 0 -72.227974 0 -70.843414 0 -72.450172 0 -70.906433 0 -71.979530 0 -70.954903 0 -72.454857 0 -70.913895 0 -71.996597 0 -70.803398 0 
123 -70.628166 0 -72.100510 0 -70.795021 0 -72.311981 0 -70.856995 0 -71.864220 0 -70.903671 0 -72.316452 0 -70.863487 0 -71.880432 0 -70.757370 0 
124 -70.588531 0 -71.979172 0 -70.747566 0 -72.180321 0 -70.807648 0 -71.754623 0 -70.852257 0 -72.184570 0 -70.813408 0 -71.770012 0 -70.712181 0 
